>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-14054729220              5          5
4-31624000286              6          6
4-8613470190000            1          1
4-33191491720130          12         11
4-30971460008              4          3
4-447802002263             3          3
4-491760003019            14         11
4-19703769833             44         23
4-491760003005            10          9
4-491760003014            17         17
4-352061000250             9          8
4-331911514420007          8          6
4-14054729327              6          6
4-447953700248             8          7
4-97339600862              9          8
4-37069899882             16         16
4-491700600117             7          4
4-2694000105              10          8
4-33191491720171          12         11
4-447953700257             7          5
4-33191393490332          25         19
4-14054729230              6          5
4-46705003206              4          2
4-14054729237              6          5
4-336110000332001          2          2
4-33191491720174          10          9
4-201059968079             5          4
4-34642200027             16         13
4-353857000880             8          5
4-8613772450000            2          2
4-491700600306             9          4
4-447488200437            34         30
4-447953700243             1          1
4-46705003202              5          5
4-33191491720167           6          6
4-331914219050004          8          7
4-639180009008             2          1
4-491700600151             4          3
4-14054729324              9          8
4-447953700234             8          8
4-639180009013             6          3
4-491700600154             4          3
4-33191443850194           9          7
4-35699418500             26         19
4-48881101163              1          1
4-61415011022              1          1
4-33191485010110          27         22
4-447953700208            16         15
4-491700600113             5          5
4-436990071205            18         18
4-21650000044         810923     763579
4-31624000287             12         11
4-861958467000             3          3
4-3319120120442            8          7
4-324750007315605          5          5
4-48602003042             18         12
4-447782000232             3          2
4-639180009001             4          3
4-19703769828            118         59
4-324750007324303         25         20
4-919820405700             6          4
4-3319120120448            7          6
4-96139960265             22         20
4-31624000285              8          8
4-4792001161              13         12
4-14054729206              4          3
4-491700600111             6          6
4-4790000950              25         23
4-491760003004            16         13
4-33191351930065          31         28
4-201059968076             7          5
4-34642200029             27         20
4-447953700222             7          7
4-883170000000002          8          2
4-33191346560155          14         12
4-33191485010086          22         21
4-491700600123             6          4
4-14054729366              7          7
4-21350001271             18         12
4-33191485010108          23         17
4-919816001268             4          4
4-33191905420191           4          3
4-447953700214            18         18
4-447802002747             4          4
4-491760003013            18         13
4-491700600305             9          6
4-14054729232              6          6
4-8615797220000            2          1
4-491700600146             6          6
4-12404492438             10          8
4-324750004055602          2          2
4-919932029188             1          1
4-14054729311              5          5
4-8613748602               2          2
4-37256100083              6          5
4-33191393490257          18         16
4-33191211920001           1          0
4-491700600145             3          3
4-19039326974              2          1
4-33689002900             26         17
4-33191346560152          13         10
4-421903002023             2          2
4-33191491720143          12         10
4-14054729331              8          8
4-33191393490266          12          8
4-8190542113894            1          0
4-33191393490341          22         17
4-33191346560154          15         14
4-447953700204            26         18
4-14054729333              6          6
4-14054729202              3          2
4-34609092030             28         20
4-14054729335              6          6
4-447782000230             5          3
4-79270009045             10          9
4-14054729349              6          6
4-447782000246             5          2
4-35677794012              7          5
4-447953700206            19         16
4-14054729223              5          4
4-48601000062              5          5
4-14054729212             10          8
4-61411999020              4          1
4-491760003010            10          9
4-4792001159               8          8
4-447953700207            15         15
4-447782000220             2          1
4-14054729244              5          5
4-33191346560162          11         10
4-48601000069              5          4
4-14054729334              3          3
4-2348050001018           11          9
4-4366401030              71          5
4-393533000027            15         15
4-324750004001309          2          2
4-417949983007012         21         20
4-14047259018              3          3
4-14054729354              4          4
4-14054729345              2          1
4-491760003009            20         17
4-21650000043         811208     763971
4-14054729332              6          5
4-447802000224             6          5
4-331914206080026         31         29
4-14047259019              2          2
4-33609009916             45         36
4-79112009901              4          4
4-7921960096490            9          8
4-14054729346              4          4
4-917020075020             3          1
4-14382760066              1          1
4-8614755420000            1          0
4-79167494229              2          2
4-33191229240005           7          7
4-19703769808             15          5
4-358402001001             4          4
4-8614735630000            1          1
4-33609009903             56         41
4-33191905420166           1          1
4-33191491720145          10          9
4-79167494250              5          5
4-33191905420292           1          1
4-491700600303             9          6
4-639180009004             1          0
4-66923010450              1          1
4-79219600076             15         13
4-14054729359              5          5
4-201059968089             8          8
4-79012275192              2          2
4-491700600159             5          5
4-3319120120446            4          4
4-8613334113000            6          5
4-447953700212            12         10
4-33191962770198           9          7
4-33191346070467          66         49
4-447953700240             7          6
4-33191243840013          41         39
4-8613466470000            3          3
4-48881109012              3          3
4-971550930009            93         82
4-33191491720131          10         10
4-48601000060              3          3
4-8615905320000            2          2
4-48601000070              7          7
4-491760003023            18         16
4-14054729364              8          8
4-447953700241             2          2
4-33191393490331          35         26
